id_cliente,rut,nombre,edad,sexo,region,comuna,tipo_deuda,institucion_financiera,monto_deuda,ingreso_mensual,num_cuotas,tasa_interes_anual,dias_mora,estado_deuda,fecha_origen_deuda
C0342,8.754.312-9,Nicolás Gutiérrez Carrasco,51,M,Valparaíso,Valparaíso,Crédito de Consumo,Banco Estado,1760891,1820853,36,22.94,0,Al día,2023-08-30
C0135,13.876.494-K,Diego Vergara Cortés,64,M,Los Ríos,La Unión,Crédito de Consumo,Banco Ripley,5362767,964505,24,31.76,0,Al día,2024-04-06
C0188,14.967.115-3,Francisco Hernández Martínez,32,M,Valparaíso,Viña del Mar,Tarjeta de Crédito,Banco Itaú,731839,608532,1,22.44,0,Al día,2024-04-20
C0378,22.585.160-3,Ricardo Castillo Reyes,31,M,Los Lagos,Puerto Montt,Tarjeta de Crédito,Banco Santander,2069831,1817060,12,22.76,2,Mora temprana,2026-04-12
C0324,21.859.457-3,Paula Carrasco Valenzuela,48,F,Coquimbo,Coquimbo,Crédito Estudiantil,Caja Los Andes,3307080,1373729,36,2.58,0,Al día,2022-04-18
C0338,19.130.652-K,Claudia Hernández Bravo,73,F,O'Higgins,Rengo,Crédito de Consumo,CMR Falabella,1239897,,36,24.6,18,Mora temprana,2023-07-30
C0046,10.518.759-9,Agustín Cortés Hernández,37,M,Los Ríos,La Unión,Crédito de Consumo,Banco Itaú,1964863,506312,24,25.63,0,Al día,2026-02-15
C0134,24.907.938-3,Constanza Contreras Rojas,24,F,Los Ríos,Valdivia,Crédito de Consumo,Banco Estado,1042169,535946,48,22.46,0,Al día,2022-05-09
C0241,24.907.858-1,Manuel Flores Carrasco,38,M,O'Higgins,San Fernando,Tarjeta de Crédito,Banco BCI,3076345,1688974,6,36.54,158,Mora avanzada,2022-08-07
C0231,22.702.304-K,Amanda López Hernández,35,F,Maule,Cauquenes,Crédito Automotriz,Banco Santander,5223175,617096,24,13.87,37,Mora media,2024-03-31
C0337,24.156.308-1,Francisco López Álvarez,54,M,Los Ríos,Valdivia,Crédito Automotriz,Banco BCI,16989267,1073139,48,13.46,0,Al día,2023-12-03
C0362,22.488.329-3,Vicente Araya Carrasco,45,M,Metropolitana,Ñuñoa,Crédito Estudiantil,Caja Los Andes,6296376,1181120,72,4.05,0,Al día,2023-08-08
C0402,19.944.851-K,Pedro Álvarez Espinoza,19,M,Los Lagos,Osorno,Crédito Hipotecario,Banco Santander,81880273,630251,180,4.57,0,Al día,2024-07-22
C0230,14.136.079-5,Pablo Díaz Díaz,72,M,Metropolitana,Santiago,Crédito Estudiantil,Banco Santander,6998314,1176176,60,4.87,0,Al día,2022-06-21
C0218,14.372.495-6,Camila Araya Vásquez,33,F,Metropolitana,Providencia,Crédito Hipotecario,Banco Santander,23416548,1892640,300,6.49,0,Al día,2024-03-26
C0307,22.448.138-1,Cristóbal Soto Tapia,29,M,O'Higgins,Rengo,Crédito de Consumo,Banco Santander,7732510,1499670,36,30.34,11,Mora temprana,2021-11-04
C0007,19.414.394-K,Claudia Soto Tapia,61,F,Maule,Talca,Crédito de Consumo,Banco Itaú,4518028,1497728,12,26.56,0,Al día,2023-07-28
C0193,16.360.011-0,Antonia Valenzuela Valenzuela,57,F,Araucanía,Angol,Crédito de Consumo,Coopeuch,1323059,1523060,12,19.76,0,Al día,2025-06-18
C0415,17.850.337-5,Fernanda Torres Reyes,19,F,Biobío,Chillán,Crédito Hipotecario,Banco Ripley,60634767,420186,120,5.78,17,Mora temprana,2022-04-12
C0374,10.121.374-9,Eduardo Tapia Valenzuela,32,M,Valparaíso,Viña del Mar,Crédito de Consumo,CMR Falabella,2326728,1059969,24,20.47,200,Mora avanzada,2022-04-18
C0403,20.164.242-6,Trinidad Sepúlveda Araya,58,F,Valparaíso,Villa Alemana,Tarjeta de Crédito,Banco Santander,476398,2182035,3,32.68,83,Mora media,2021-11-04
C0279,15.690.928-9,Carolina Cortés Soto,48,F,Coquimbo,Ovalle,Tarjeta de Crédito,Banco Itaú,846653,944292,3,31.47,0,Al día,2022-06-16
C0050,18.772.927-0,Carlos Muñoz Vásquez,66,M,Biobío,Chillán,Crédito de Consumo,Caja Los Andes,3344882,1059669,48,25.79,0,Al día,2026-01-26
C0175,17.293.492-7,Sofía Valenzuela Reyes,46,F,Araucanía,Temuco,Crédito Estudiantil,Banco Santander,3066235,1957992,72,4.19,0,Al día,2024-03-04
C0139,24.685.857-8,Verónica Vásquez Torres,33,F,Los Ríos,Valdivia,Crédito de Consumo,Banco BCI,5695804,1537794,36,21.47,0,Al día,2024-07-26
C0201,22.081.225-1,Francisco Soto Castillo,74,M,Valparaíso,Quilpué,Crédito de Consumo,Banco Falabella,4486600,901712,12,20.96,77,Mora media,2026-07-29
C0295,22.101.016-7,Matías Pérez Muñoz,52,M,Metropolitana,Maipú,Crédito Estudiantil,Banco Falabella,3097809,,60,4.18,0,Al día,2025-09-26
C0418,21.822.063-0,Ricardo Sepúlveda Morales,21,M,Metropolitana,Santiago,Tarjeta de Crédito,Banco Ripley,3475513,666988,1,38.66,13,Mora temprana,2026-01-13
C0371,23.076.250-3,Benjamín Bravo Castillo,46,M,Araucanía,Villarrica,Tarjeta de Crédito,Banco Estado,2566993,1889402,3,31.21,0,Al día,2023-07-20
C0258,12.697.676-3,Gabriel Pérez Reyes,64,M,Coquimbo,Illapel,Crédito de Consumo,Banco Ripley,5424966,2205284,48,24.38,0,Al día,2023-03-07
C0120,17.175.712-6,Joaquín Silva Martínez,53,M,Los Lagos,Osorno,Crédito Estudiantil,Banco Falabella,5848684,1997269,36,4.07,0,Al día,2023-11-22
C0263,24.838.854-4,Carlos Castillo Bravo,71,M,Valparaíso,Villa Alemana,Tarjeta de Crédito,Banco BCI,1782225,1609201,6,40.07,0,Al día,2022-02-19
C0183,24.845.698-1,Gabriel López Cortés,27,M,Biobío,Concepción,Crédito de Consumo,CMR Falabella,5698941,850842,24,22.08,9,Mora temprana,2021-12-13
C0365,23.668.429-6,Patricia Castillo Díaz,63,F,Valparaíso,Valparaíso,Crédito Estudiantil,Banco Santander,11870056,1285285,72,4.41,0,Al día,2025-12-16
C0146,21.364.596-K,Constanza Contreras Bravo,73,F,Los Ríos,La Unión,Tarjeta de Crédito,Banco de Chile,1255969,1996886,1,22.84,32,Mora media,2025-06-02
C0247,19.136.162-8,Carlos Flores Rodríguez,22,M,Coquimbo,Coquimbo,Crédito Estudiantil,Coopeuch,9474848,380000,36,3.25,0,Al día,2026-01-24
C0128,15.328.677-9,Manuel Díaz Castillo,36,M,Coquimbo,Coquimbo,Tarjeta de Crédito,Banco Santander,722506,1382820,12,38.19,14,Mora temprana,2022-08-24
C0166,13.569.418-5,Felipe Rodríguez Carrasco,70,M,Valparaíso,San Antonio,Crédito Estudiantil,Banco de Chile,4975295,2207278,36,4.43,12,Mora temprana,2021-10-02
C0038,25.506.915-2,Andrés Fuentes Reyes,41,M,Valparaíso,Villa Alemana,Crédito Hipotecario,Banco Estado,76379329,2161689,300,3.82,326,Mora avanzada,2022-08-13
C0004,17.057.945-3,Valentina López Martínez,47,F,Coquimbo,Coquimbo,Crédito de Consumo,Banco BCI,4779144,1785459,12,25.36,0,Al día,2022-06-29
C0358,16.457.427-K,Sebastián Castillo Torres,55,M,Biobío,Coronel,Tarjeta de Crédito,Banco Falabella,3172796,2076377,1,25.74,0,Al día,2023-09-30
C0053,13.166.413-3,Cristóbal González Castillo,56,M,Araucanía,Villarrica,Crédito de Consumo,Banco Estado,7144947,1691970,12,18.82,38,Mora media,2023-12-29
C0229,18.492.709-8,Fernanda Vásquez Araya,22,F,Valparaíso,Quilpué,Crédito Hipotecario,Caja Los Andes,55450260,600481,300,3.65,86,Mora media,2026-05-12
C0323,23.992.116-7,Marcela Contreras Díaz,26,F,Biobío,Concepción,Crédito Automotriz,Banco Itaú,7477211,1673830,36,11.17,0,Al día,2026-06-08
C0376,9.262.358-0,María González Soto,23,F,Los Ríos,La Unión,Crédito de Consumo,Caja Los Andes,2428901,1099188,24,17.43,0,Al día,2024-01-21
C0288,21.322.639-8,Felipe Bravo Hernández,67,M,Coquimbo,Illapel,Crédito de Consumo,Banco Santander,687572,2388553,24,27.37,24,Mora temprana,2022-08-26
C0094,12.657.109-7,Amanda Araya Rodríguez,33,F,Maule,Talca,Crédito de Consumo,Banco Estado,1962338,1048330,36,28.45,0,Al día,2024-12-21
C0157,10.880.809-8,Cristóbal González Díaz,34,M,Araucanía,Villarrica,Crédito de Consumo,CMR Falabella,8696422,1351113,24,20.86,0,Al día,2025-12-29
C0406,11.748.774-1,Matías Álvarez Vergara,25,M,Araucanía,Villarrica,Crédito Estudiantil,Banco Santander,4801288,1822939,48,2.38,0,Al día,2026-02-21
C0225,20.589.368-7,Gabriel Vásquez Contreras,28,M,Maule,Talca,Tarjeta de Crédito,Banco Santander,3158940,822898,1,33.92,0,Al día,2024-07-11
C0348,24.185.807-3,Amanda Vergara Gutiérrez,68,F,Valparaíso,Quilpué,Crédito de Consumo,Banco de Chile,5368701,2246032,48,21.81,0,Al día,2023-02-06
C0351,18.219.006-3,Isidora Vergara Pérez,74,F,Los Ríos,Valdivia,Crédito Automotriz,Banco Santander,11912993,1462951,48,9.73,7,Mora temprana,2025-06-05
C0267,8.555.749-1,Sofía Valenzuela Pérez,68,F,Los Ríos,Valdivia,Crédito Hipotecario,Coopeuch,42511225,1028214,240,6.27,3,Mora temprana,2025-04-17
C0420,24.870.112-9,Felipe González Gutiérrez,48,M,Los Ríos,Valdivia,Crédito Estudiantil,CMR Falabella,7548160,1576118,48,3.72,37,Mora media,2022-09-16
C0191,19.124.968-2,Isidora Vergara López,41,F,Valparaíso,Villa Alemana,Crédito Hipotecario,Banco de Chile,28653290,425718,180,6.21,0,Al día,2025-11-10
C0370,20.054.802-7,Florencia Flores Carrasco,39,F,Valparaíso,San Antonio,Crédito Automotriz,Banco Falabella,6407796,1738519,36,10.88,188,Mora avanzada,2024-11-26
C0037,9.378.051-5,Trinidad Díaz Espinoza,19,F,Los Lagos,Puerto Varas,Crédito de Consumo,Banco BCI,4374336,380000,12,26.85,0,Al día,2022-09-29
C0160,14.273.331-5,Matías Álvarez Valenzuela,74,M,Araucanía,Padre Las Casas,Crédito Hipotecario,CMR Falabella,114588013,428265,180,4.12,82,Mora media,2022-02-12
C0149,18.625.958-0,Ximena Espinoza Reyes,42,F,Valparaíso,Villa Alemana,Tarjeta de Crédito,Banco BCI,388309,1875496,1,25.24,0,Al día,2022-03-09
C0215,8.298.566-2,Pablo Vergara Gutiérrez,23,M,Los Lagos,Puerto Montt,Crédito de Consumo,Banco Santander,3895669,1302355,24,26.01,9,Mora temprana,2022-12-05
C0111,9.698.031-0,Manuel Morales Álvarez,73,M,Coquimbo,Illapel,Tarjeta de Crédito,Banco Ripley,2435735,1605990,1,26.62,0,Al día,2025-01-30
C0414,11.342.135-5,Gabriel Torres Reyes,56,M,Maule,Cauquenes,Crédito de Consumo,Banco Santander,7927505,2189672,12,17.08,0,Al día,2025-04-15
C0027,15.170.629-0,Luis Álvarez Bravo,29,M,Los Ríos,La Unión,Crédito de Consumo,Banco Estado,5113613,1017271,24,22.31,21,Mora temprana,2024-10-10
C0303,10.237.404-5,Catalina Álvarez Rojas,60,F,O'Higgins,Rengo,Tarjeta de Crédito,Caja Los Andes,2393023,2184446,3,34.55,0,Al día,2022-12-27
C0170,24.285.237-0,Jorge Reyes Gutiérrez,40,M,Valparaíso,Villa Alemana,Crédito de Consumo,CMR Falabella,3854277,2109830,48,19.57,52,Mora media,2023-07-07
C0016,16.261.616-1,Antonia Espinoza Torres,50,F,O'Higgins,Rancagua,Tarjeta de Crédito,Coopeuch,859406,548005,1,34.07,8,Mora temprana,2024-04-26
C0168,17.016.651-5,Marcela Tapia Fuentes,21,F,Los Lagos,Osorno,Crédito Automotriz,Banco Santander,5453557,542166,48,12.8,74,Mora media,2024-05-18
C0087,19.062.586-9,Rosa Hernández Hernández,51,F,O'Higgins,San Fernando,Tarjeta de Crédito,Banco Ripley,1704942,973270,12,38.91,2,Mora temprana,2022-02-26
C0246,18.105.078-0,Felipe Flores Martínez,26,M,Biobío,Coronel,Crédito Automotriz,Banco Estado,10823741,1073240,36,7.28,396,Mora avanzada,2026-04-18
C0310,11.199.886-8,Josefa Tapia Sepúlveda,23,F,Los Ríos,La Unión,Crédito de Consumo,Banco BCI,1595227,1151920,36,28.48,0,Al día,2021-12-13
C0318,24.799.053-4,Amanda Reyes Martínez,60,F,Coquimbo,La Serena,Tarjeta de Crédito,CMR Falabella,1676776,951274,1,42.4,0,Al día,2023-03-27
C0118,21.769.980-0,Andrea Torres Soto,51,F,Los Ríos,La Unión,Tarjeta de Crédito,Banco BCI,2481533,446208,1,23.15,0,Al día,2024-03-26
C0248,18.768.859-0,Gabriel Sepúlveda Contreras,66,M,Los Ríos,La Unión,Crédito Estudiantil,Banco Estado,6805039,682647,60,2.72,30,Mora temprana,2023-02-05
C0056,13.103.807-0,Francisco Carrasco Contreras,62,M,Araucanía,Padre Las Casas,Tarjeta de Crédito,CMR Falabella,1414528,518688,12,37.04,55,Mora media,2022-11-10
C0364,9.908.640-8,Andrés González Reyes,18,M,Valparaíso,Valparaíso,Crédito de Consumo,Coopeuch,7781668,,36,18.73,0,Al día,2025-07-01
C0092,11.442.340-8,Ricardo Sepúlveda Vásquez,42,M,O'Higgins,San Fernando,Crédito de Consumo,Banco Santander,3650371,2093145,24,29.84,0,Al día,2023-11-20
C0002,19.541.238-3,Diego Hernández Espinoza,35,M,Metropolitana,Maipú,Crédito Hipotecario,Banco Ripley,40868105,962738,180,6.37,0,Al día,2026-01-23
C0357,18.202.924-6,Eduardo Muñoz Bravo,39,M,O'Higgins,Rancagua,Crédito de Consumo,Coopeuch,5861881,1364051,48,21.0,241,Mora avanzada,2024-12-16
C0239,12.307.777-6,Luis Espinoza Araya,26,M,Antofagasta,Antofagasta,Crédito de Consumo,Banco Estado,7561353,1540199,48,30.71,89,Mora media,2025-08-03
C0151,10.122.893-2,Nicolás González Sepúlveda,44,M,Maule,Talca,Crédito Automotriz,Coopeuch,12595903,889067,36,11.8,0,Al día,2025-01-27
C0270,20.583.914-3,Vicente Martínez Torres,67,M,Araucanía,Temuco,Tarjeta de Crédito,Coopeuch,1161312,1360693,3,18.15,1,Mora temprana,2023-05-05
C0419,25.272.473-7,Sebastián Reyes Silva,33,M,Araucanía,Angol,Crédito Hipotecario,Banco de Chile,35364077,1019447,240,4.01,0,Al día,2026-05-16
C0363,14.037.001-0,Francisco Martínez Martínez,69,M,Valparaíso,Quilpué,Crédito Hipotecario,CMR Falabella,110636039,1481715,180,5.7,7,Mora temprana,2023-09-01
C0386,10.716.534-7,Manuel Castillo González,73,M,Valparaíso,San Antonio,Crédito Estudiantil,Banco Ripley,1548852,1642762,48,3.28,0,Al día,2023-02-23
C0359,24.271.165-3,Patricia Martínez Martínez,72,F,Los Lagos,Puerto Montt,Crédito Automotriz,Banco Itaú,12928255,820810,36,11.61,0,Al día,2025-08-06
C0013,16.382.113-3,Agustín Carrasco Álvarez,21,M,Valparaíso,Valparaíso,Crédito de Consumo,Banco Ripley,2133230,1235378,24,18.26,0,Al día,2025-10-17
C0044,11.828.129-2,Manuel Pérez Castillo,73,M,Antofagasta,Antofagasta,Crédito Estudiantil,Banco Itaú,8875173,1073932,60,3.32,0,Al día,2026-04-17
C0068,8.716.637-6,Florencia Díaz Reyes,41,F,O'Higgins,San Fernando,Crédito de Consumo,CMR Falabella,3484459,958565,12,31.13,36,Mora media,2022-11-12
C0349,24.328.603-4,Benjamín Morales Contreras,70,M,Los Ríos,La Unión,Crédito Automotriz,CMR Falabella,16209151,1726480,48,10.81,0,Al día,2022-11-12
C0119,16.870.522-0,Pablo Álvarez Muñoz,63,M,Biobío,Coronel,Tarjeta de Crédito,Banco Ripley,2086433,1945669,12,26.47,0,Al día,2023-08-05
C0023,15.636.837-7,Javiera Álvarez Cortés,39,F,Maule,Curicó,Tarjeta de Crédito,Banco de Chile,242422,1182248,12,24.01,60,Mora media,2024-08-14
C0332,17.542.227-7,Javiera Pérez Muñoz,59,F,Coquimbo,La Serena,Tarjeta de Crédito,Banco Estado,2504696,1956672,6,26.94,0,Al día,2025-12-20
C0379,22.925.712-9,Francisco Valenzuela Tapia,74,M,Antofagasta,Antofagasta,Tarjeta de Crédito,Banco Estado,817726,1657618,3,39.21,0,Al día,2025-12-06
C0145,11.199.812-4,Fernanda López López,42,F,O'Higgins,Rengo,Tarjeta de Crédito,Banco Estado,798834,1853973,1,31.5,0,Al día,2022-03-08
C0006,11.679.214-1,Josefa Pérez Silva,65,F,O'Higgins,San Fernando,Tarjeta de Crédito,Banco Itaú,2527514,1406339,12,27.77,161,Mora avanzada,2023-09-22
C0292,15.758.301-8,Felipe Pérez Sepúlveda,18,M,Metropolitana,Maipú,Crédito de Consumo,Caja Los Andes,439537,901309,48,31.1,0,Al día,2026-07-13
C0387,14.869.014-6,Pablo Cortés Muñoz,50,M,Coquimbo,La Serena,Tarjeta de Crédito,Banco Ripley,2676833,1355915,1,27.87,0,Al día,2023-06-13
C0097,16.090.843-2,Benjamín Araya Flores,50,M,O'Higgins,San Fernando,Tarjeta de Crédito,Caja Los Andes,2746196,471298,12,44.49,0,Al día,2026-06-28
C0243,15.526.506-K,Ximena Muñoz Contreras,35,F,Biobío,Los Ángeles,Crédito Hipotecario,Banco Santander,28325904,2140311,240,4.11,0,Al día,2024-07-27
C0289,15.695.908-1,Valentina Rojas Cortés,74,F,Antofagasta,Tocopilla,Tarjeta de Crédito,CMR Falabella,3288627,1626758,1,20.81,3,Mora temprana,2022-11-28
C0095,23.338.187-K,Agustín Valenzuela González,75,M,Valparaíso,Valparaíso,Tarjeta de Crédito,Banco Santander,3130243,1684017,12,21.0,0,Al día,2024-11-22
C0107,12.166.155-1,Camila Morales Castillo,22,F,Antofagasta,Calama,Crédito Hipotecario,Banco Ripley,93994695,389482,180,5.8,0,Al día,2023-10-06
C0171,18.128.925-2,Luis Vásquez Muñoz,20,M,Valparaíso,San Antonio,Tarjeta de Crédito,Banco Santander,1994775,783265,1,44.78,0,Al día,2022-09-20
C0051,25.266.984-1,Javiera Morales Fuentes,62,F,Antofagasta,Calama,Crédito Hipotecario,CMR Falabella,93832717,2294788,120,4.86,0,Al día,2024-10-07
C0073,11.190.551-7,Eduardo Araya Sepúlveda,47,M,O'Higgins,San Fernando,Crédito de Consumo,Banco de Chile,3907488,2168435,48,22.68,0,Al día,2024-09-05
C0190,15.458.752-7,Ximena Sepúlveda Martínez,,F,Biobío,Concepción,Crédito Estudiantil,Caja Los Andes,10229497,1700510,36,2.28,0,Al día,2022-02-17
C0152,20.746.991-2,Sofía Martínez Fuentes,37,F,Antofagasta,Antofagasta,Crédito de Consumo,Banco BCI,8618184,1891835,24,22.78,0,Al día,2026-07-18
